Name,Position,Link
Krishan K Ahuja,Regents Professor,https://ae.gatech.edu/directory/person/krishan-k-ahuja
Christos E Athanasiou,Assistant Professor,https://ae.gatech.edu/directory/person/christos-e-athanasiou
Spencer Bryngelson,"Adjunct Professor, Daniel Guggenheim School of Aerospace Engineering; Assistant Professor, School of Computational Science & Engineering",https://ae.gatech.edu/directory/person/spencer-bryngelson
Anthony J. Calise,Professor Emeritus,https://ae.gatech.edu/directory/person/anthony-j-calise
Christopher Carr,Assistant Professor,https://ae.gatech.edu/directory/person/christopher-carr
Yongxin Chen,Associate Professor,https://ae.gatech.edu/directory/person/yongxin-chen
John Christian,Associate Professor,https://ae.gatech.edu/directory/person/john-christian
Mark Francis Costello,Professor,https://ae.gatech.edu/directory/person/mark-francis-costello
James I Craig,Professor Emeritus,https://ae.gatech.edu/directory/person/james-i-craig
John Dec,Professor of the Practice,https://ae.gatech.edu/directory/person/john-dec
Frank Dellaert,Adjunct Professor,https://ae.gatech.edu/directory/person/frank-dellaert
Bolei Deng,Assistant Professor,https://ae.gatech.edu/directory/person/bolei-deng
Claudio Vinicius Di Leo,Associate Professor,https://ae.gatech.edu/directory/person/claudio-vinicius-di-leo
Anna Erickson,Adjunct Professor,https://ae.gatech.edu/directory/person/anna-erickson
Karen M Feigh,Professor and Associate Chair for Research,https://ae.gatech.edu/directory/person/karen-m-feigh
Lu Gan,Assistant Professor,https://ae.gatech.edu/directory/person/lu-gan
Laurie A. Garrow,Adjunct Professor,https://ae.gatech.edu/directory/person/laurie-garrow
Brian J German,National Institute of Aerospace Langley Professor,https://ae.gatech.edu/directory/person/brian-j-german
Ari Glezer,Adjunct Faculty,https://ae.gatech.edu/directory/person/ari-glezer
Matthew Gombolay,Adjunct Professor,https://ae.gatech.edu/directory/person/matthew-gombolay
Kelly Griendling,Lecturer,https://ae.gatech.edu/directory/person/kelly-griendling
Brian C Gunter,Associate Professor,https://ae.gatech.edu/directory/person/brian-c-gunter
Wassim M Haddad,David S. Lewis Professor in Dynamical Systems and Control,https://ae.gatech.edu/directory/person/wassim-m-haddad
Sathyanaraya Hanagud,Professor,https://ae.gatech.edu/directory/person/sathyanaraya-hanagud
"Masatoshi ""Toshi"" Hirabayashi",Associate Professor,https://ae.gatech.edu/directory/person/masatoshi-toshi-hirabayashi
Koki Ho,Dutton-Ducoffe Professor and Associate Professor,https://ae.gatech.edu/directory/person/koki-ho
Jechiel Jagoda,Professor Emeritus,https://ae.gatech.edu/directory/person/jechiel-jagoda
Kai James,Associate Professor,https://ae.gatech.edu/directory/person/kai-james
George Kardomateas,Professor,https://ae.gatech.edu/directory/person/george-kardomateas
Graeme James Kennedy,Associate Professor,https://ae.gatech.edu/directory/person/graeme-james-kennedy
Timothy Charles Lieuwen,Regents Professor,https://ae.gatech.edu/directory/person/timothy-charles-lieuwen
Edgar Glenn Lightsey,John W. Young Chair,https://ae.gatech.edu/directory/person/edgar-glenn-lightsey
"Sandra ""Sandy"" Magnus",Professor of the Practice,https://ae.gatech.edu/directory/person/sandra-sandy-magnus
Dimitri Mavris,"Regents Professor, Boeing Professor of Advanced Aerospace Systems Analysis, and Langley Distinguished Professor in Advanced Aerospace Systems Architecture",https://ae.gatech.edu/directory/person/dimitri-mavris
Anirban Mazumdar,Adjunct Faculty,https://ae.gatech.edu/directory/person/anirban-mazumdar
Yi Chen Mazumdar,Adjunct Faculty,https://ae.gatech.edu/directory/person/yi-chen-mazumdar
Chance C McColl,Lecturer,https://ae.gatech.edu/directory/person/chance-c-mccoll
Suresh Menon,Hightower Professor,https://ae.gatech.edu/directory/person/suresh-menon
Kali Morgan,Learning Scientist,https://ae.gatech.edu/directory/person/kali-morgan
Joseph Oefelein,Professor and Associate Chair for Undergraduate Programs,https://ae.gatech.edu/directory/person/joseph-oefelein
Mayuresh Patil,Professor of the Practice,https://ae.gatech.edu/directory/person/mayuresh-patil
Jonnalagadda V R Prasad,Professor and Associate Director of Vertical Lift Research Center of Excellence,https://ae.gatech.edu/directory/person/jonnalagadda-v-r-prasad
Elizabeth Qian,Assistant Professor,https://ae.gatech.edu/directory/person/elizabeth-qian
Devesh Ranjan,Adjunct Professor,https://ae.gatech.edu/directory/person/devesh-ranjan
Juergen Rauleder,Assistant Professor and Associate Director of Vertical Lift Research Center of Excellence,https://ae.gatech.edu/directory/person/juergen-rauleder
Cristina Riso,Assistant Professor,https://ae.gatech.edu/directory/person/cristina-riso
Jonathan Rogers,Lockheed Martin Professor of Avionics Integration,https://ae.gatech.edu/directory/person/jonathan-rogers
Álvaro Romero-Calvo,Assistant Professor,https://ae.gatech.edu/directory/person/alvaro-romero-calvo
Stephen M Ruffin,Professor,https://ae.gatech.edu/directory/person/stephen-m-ruffin
Lakshmi N Sankar,Regents Professor,https://ae.gatech.edu/directory/person/lakshmi-n-sankar
Daniel P Schrage,Professor Emeritus,https://ae.gatech.edu/directory/person/daniel-p-schrage
Jerry M Seitzman,Professor,https://ae.gatech.edu/directory/person/jerry-m-seitzman
Marilyn J Smith,Professor and Director of Vertical Lift Research Center of Excellence,https://ae.gatech.edu/directory/person/marilyn-j-smith
Adam Michael Steinberg,Pratt & Whitney Chair and Associate Chair for Graduate Programs,https://ae.gatech.edu/directory/person/adam-michael-steinberg
Wenting Sun,Associate Professor,https://ae.gatech.edu/directory/person/wenting-sun
Evangelos Theodorou,Associate Professor,https://ae.gatech.edu/directory/person/evangelos-theodorou
Sedina Tsikata,"Associate Professor, Lewis Professorship",https://ae.gatech.edu/directory/person/sedina-tsikata
Panagiotis Tsiotras,David & Andrew Lewis Chair,https://ae.gatech.edu/directory/person/panagiotis-tsiotras
Kyriakos G Vamvoudakis,Dutton-Ducoffe Endowed Professor,https://ae.gatech.edu/directory/person/kyriakos-g-vamvoudakis
Mitchell L.R. Walker II,Daniel Guggenheim School Chair and William R.T. Oakes Professor,https://ae.gatech.edu/directory/person/mitchell-lr-walker-ii
Mark Whorton,Professor of the Practice,https://ae.gatech.edu/directory/person/mark-whorton
Vigor Yang,Regents Professor,https://ae.gatech.edu/directory/person/vigor-yang
Pui-Kuen Yeung,Professor,https://ae.gatech.edu/directory/person/pui-kuen-yeung
Turab Ali Zaidi,Senior Lecturer,https://ae.gatech.edu/directory/person/turab-ali-zaidi
Ben T Zinn,Regents Professor Emeritus,https://ae.gatech.edu/directory/person/ben-t-zinn
